index,Unnamed: 0,date,item_name,unit_price_x,quantity,forecast_quantity
502043,502043,2021-01-22 05:08:00,monster locarb 16 oz,40.0,11,10.666666666666666
38141,38141,2021-01-20 23:29:00,la croix sparkling berry 12 ozv,16.0,11,10.666666666666666
584203,584203,2021-01-22 03:28:00,pure leaf unsweetened tea 185oz,17.0,10,10.333333333333334
442390,442390,2021-01-22 17:02:00,advil 2 pill packets,14.0,11,10.0
759641,759641,2021-01-23 02:47:00,apple sauce variety gogo squeeze 32oz,14.0,10,9.666666666666666
79316,79316,2021-01-22 14:40:00,monster zero ultra 16 oz,40.0,11,9.333333333333334
63016,63016,2021-01-22 23:09:00,pom 2 ply paper towels,33.0,7,9.333333333333334
113134,113134,2021-01-22 23:09:00,v8 100% vegetable juice 11oz cans,18.0,10,9.333333333333334
892641,892641,2021-01-22 18:47:00,barqs root beer  12 oz cans,6.75,10,9.0
367119,367119,2021-01-22 23:09:00,perrier sparkling water plastic 169oz,22.0,10,9.0
596632,596632,2021-01-22 17:22:00,waterloo sparkling blackcherry 12oz,8.0,11,9.0
973194,973194,2021-01-23 04:01:00,monster java 15 oz,23.0,9,9.0
118518,118518,2021-01-22 19:57:00,pure leaf sweet tea 85oz,17.0,9,9.0
152043,152043,2021-01-22 10:41:00,unsalted premium blend nuts,20.5,9,9.0
75342,75342,2021-01-20 22:14:00,cherry coke 12oz,6.75,5,9.0
286944,286944,2021-01-21 17:54:00,fiber one bars oats and chocolate,15.0,8,9.0
155576,155576,2021-01-22 00:22:00,gatorade variety 20 oz,20.0,10,8.666666666666666
642980,642980,2021-01-21 06:32:00,kind  bars mini variety pack 07 oz,20.0,11,8.666666666666666
123206,123206,2021-01-23 04:38:00,sweet n low sweetener,16.0,9,8.666666666666666
919387,919387,2021-01-22 19:35:00,red bull 84 oz,40.0,11,8.666666666666666
395980,395980,2021-01-22 14:15:00,njoy creamer packs,16.5,11,8.666666666666666
566474,566474,2021-01-23 02:18:00,sargento string cheese 075oz,12.0,10,8.666666666666666
354626,354626,2021-01-22 22:53:00,nature valley biscuit sandwich variety pack,17.0,11,8.333333333333334
228245,228245,2021-01-22 19:57:00,chinet comfort hot cups with lids 16oz,14.0,9,8.333333333333334
581897,581897,2021-01-22 19:57:00,fresca peach citrus  12 oz cans,6.75,10,8.333333333333334
875693,875693,2021-01-23 04:38:00,aquafina purified drinking water 16oz,9.0,10,8.333333333333334
39040,39040,2021-01-18 20:21:00,austin toasty crackers w/ pbtr,14.0,10,8.333333333333334
728671,728671,2021-01-23 01:44:00,hawaiian punch  12 oz cans,6.75,8,8.333333333333334
592336,592336,2021-01-23 01:44:00,quaker instant oatmeal variety,15.0,6,8.333333333333334
678583,678583,2021-01-22 19:35:00,chewy granola variety bars quaker,13.0,9,8.333333333333334
436977,436977,2021-01-22 17:22:00,baked chips variety mix frito,16.0,5,8.333333333333334
534059,534059,2021-01-22 23:10:00,large trash bags black 33 gal,21.0,10,8.0
753894,753894,2021-01-23 01:12:00,planters nuttrition 15 oz,16.5,5,8.0
775198,775198,2021-01-22 09:59:00,tropicana apple juice 10 oz 100%,18.0,9,8.0
420892,420892,2021-01-22 08:13:00,extra variety packs sugar free,14.0,5,8.0
987233,987233,2021-01-22 19:57:00,ozarka spring water 20 oz,13.0,9,8.0
122242,122242,2021-01-22 23:10:00,kelloggs cereals assortment pack,13.0,9,8.0
78333,78333,2021-01-23 04:38:00,pepsi  12 oz cans,16.25,11,8.0
928965,928965,2021-01-23 03:11:00,diet coke caffeine free 12oz cans,6.75,9,8.0
32944,32944,2021-01-22 16:25:00,zoo animal cookies/crackers,14.0,5,8.0
622530,622530,2021-01-22 16:51:00,red bull sugar free 84 oz,40.0,5,8.0
899194,899194,2021-01-23 01:12:00,k cups  green tea,9.0,5,7.666666666666667
385162,385162,2021-01-22 08:13:00,hefty cmprtmnt plates foam 10,18.0,9,7.666666666666667
183999,183999,2021-01-22 20:24:00,k cups  starbucks pike place,44.0,8,7.666666666666667
