Producto,Precio optimo,Demanda esperada
100% Juice Box Variety 6.75 oz ,12.0,4.333333333333333
A&W Root Beer - 12 oz cans,9.2,6.666666666666667
A&W Root Beer Diet - 12 oz cans,8.1,7.0
Advil 2 pill packets,11.2,10.0
All Purpose Cleaner 409 Spray,14.4,3.6666666666666665
Altoids Small Packs Variety,14.4,6.333333333333333
Apple Sauce Variety GoGO Squeeze 3.2oz,16.8,9.666666666666666
AquaFina Purified Drinking Water 16oz,10.8,8.333333333333334
Austin Cookie Cracker Variety,11.2,4.0
Austin Toasty Crackers w/ PBtr,11.2,8.333333333333334
Baked Chips Variety Mix Frito,12.8,8.333333333333334
Barq's Root Beer - 12 oz cans,5.4,9.0
Belvita Hard Biscuits Blueberry,10.4,5.666666666666667
Belvita Hard Biscuits Cinnamon,10.4,5.0
Belvita Protein Oats Soft Biscuit,11.2,7.666666666666667
"Blue Diamond Almonds Rstd, Sltd",4.8,7.666666666666667
Bounty Paper Towels Select a Size ,20.8,7.0
Breath Savers Peppermints 12/roll ,19.2,5.0
Brisk Lemon Iced Tea - 12 oz cans,12.4,7.0
Cascade Gel Packs Dishwasher,16.0,6.0
Cascade Gel w/ Dawn Dishwasher,12.0,5.666666666666667
Charmin Ultra Bath Tissue,31.2,5.333333333333333
Cheese and Peanut Butter Crackers,9.6,4.666666666666667
Cheetos Flamin' Hot 1 oz,13.6,6.333333333333333
Cheez It Original Crackers 1.5oz,12.0,5.666666666666667
Cheez It White Cheddar 1.5 oz,18.0,6.0
Cherry Coke 12oz,8.1,9.0
Cherry Coke Zero 12 pack,5.4,5.0
Chewy Granola Variety Bars Quaker,10.4,8.333333333333334
Chex Mix Original,12.0,7.333333333333333
Chinet Comfort Hot Cups with Lids 16oz,11.2,8.333333333333334
Chobani Greek Yogurt Variety Pack ,12.8,5.666666666666667
Clear Plastic 12 oz Cups,11.2,5.0
Clear Plastic Cups 9oz,12.0,3.3333333333333335
Cliff Builders Protein Bar Variety Pack,19.2,4.666666666666667
Cliff Energy Bars Variety Pack,28.8,5.0
Clorox Bleach Large Jugs,12.8,5.333333333333333
Clorox Disinfecting Wipes ,15.6,6.0
Coffee-Mate French Vanilla Cold,12.0,6.0
Coffee-Mate Original Flavor Cold,4.8,6.666666666666667
Coffee-mate Original Powdered Creamer,8.0,4.666666666666667
Coke Classic 12 oz cans,13.0,10.056022090452927
Coke Zero Sugar 12 oz cans,13.0,5.666666666666667
Community Coffee Dark Roast,13.6,5.333333333333333
Crunchy Granola Bars Oats & Honey,14.4,7.0
Dark Chocolate Mint Patties,12.8,7.666666666666667
